unixtime,time,ppfdred1_2,ppfdblue1_2,ppfd1_2,ppfdred2_2,ppfdblue2_2,ppfd2_2,ppfdred3_2,ppfdblue3_2,ppfd3_2,ppfdred4_2,ppfdblue4_2,ppfd4_2,ppfdred5_2,ppfdblue5_2,ppfd5_2,ppfdred6_2,ppfdblue6_2,ppfd6_2,ppfdred7_2,ppfdblue7_2,ppfd7_2,temp_1_2,humd_1_2,temp_2_2,humd_2_2,temp_3_2,humd_3_2,tmp1_2,tmp2_2,tmp3_2,oxy_con_2,co2_con_2
1533139200,02-08-18 00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1533153600,02-08-18 04:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1533168000,02-08-18 08:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1533182400,02-08-18 12:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1533196800,02-08-18 16:00,115.0,41.0,156.0,123.5,35.1,158.6,129.9,56.9,186.8,119.6,37.2,156.8,114.6,44.1,158.7,115.4,39.9,155.3,134.1,46.2,180.3,25.369999885559082,99.9000015258789,20.899999618530273,83.80000305175781,26.18000011444092,63.88999977111816,33.64375,33.8125,31.35625,18.7,991.95
1533211200,02-08-18 20:00,115.1,41.0,156.1,123.6,35.1,158.7,129.6,57.1,186.7,119.7,37.2,156.9,114.8,43.8,158.6,115.6,39.5,155.1,134.7,46.5,181.2,25.489999961853027,99.68000183105468,20.899999618530273,83.80000305175781,26.299999237060554,62.19999961853027,33.44375,33.58125,31.04375,18.712,807.417
1533225600,03-08-18 00:00,114.8,40.8,155.6,123.8,34.1,157.9,129.7,56.1,185.8,118.6,37.0,155.6,114.2,43.4,157.6,115.4,39.1,154.5,134.1,45.9,180.0,24.899999618530273,99.9000015258789,20.899999618530273,83.80000305175781,25.320000076293944,65.14000015258789,32.96875,33.09375,30.6625,18.722,797.395
1533240000,03-08-18 04:00,115.0,40.6,155.6,123.3,34.2,157.5,128.8,56.2,185.0,119.1,37.0,156.1,114.7,43.2,157.9,115.9,38.9,154.8,134.1,45.8,179.9,24.859999465942384,99.9000015258789,20.899999618530273,83.80000305175781,25.620000457763673,63.8799991607666,32.49375,32.55,30.3125,18.651,840.927
1533254400,03-08-18 08:00,10.454545454545455,3.909090909090909,14.363636363636363,11.181818181818182,3.1818181818181817,14.363636363636363,11.727272727272727,5.090909090909091,16.818181818181817,11.545454545454545,3.4545454545454546,15.0,11.181818181818182,3.8181818181818183,15.0,10.454545454545455,3.6363636363636362,14.090909090909092,13.090909090909092,4.181818181818182,17.272727272727273,23.59090891751376,99.9000015258789,20.899999618530273,83.80000305175781,24.390908674760297,62.69090895219283,24.806818181818183,24.829545454545453,23.857954545454547,18.493636363636366,942.2536363636365
1533268800,03-08-18 12:00,117.45454545454545,40.09090909090909,157.54545454545453,125.9090909090909,33.0,158.9090909090909,130.72727272727272,55.36363636363637,186.0909090909091,120.81818181818181,36.27272727272727,157.0909090909091,116.9090909090909,43.36363636363637,160.27272727272728,117.54545454545455,38.72727272727273,156.27272727272728,136.36363636363637,45.09090909090909,181.45454545454547,23.672727411443535,99.9000015258789,20.899999618530273,83.80000305175781,23.954545801336113,68.43636252663352,29.772727272727273,29.96590909090909,27.90909090909091,18.617272727272727,879.1172727272726
1533283200,03-08-18 16:00,114.63636363636364,41.0,155.63636363636363,122.81818181818181,34.90909090909091,157.72727272727272,128.9090909090909,56.90909090909091,185.8181818181818,118.9090909090909,37.27272727272727,156.1818181818182,114.45454545454545,43.81818181818182,158.27272727272728,115.0909090909091,39.0,154.0909090909091,134.36363636363637,46.18181818181818,180.54545454545453,24.9272724498402,99.9000015258789,20.899999618530273,83.80000305175781,25.745454788208008,63.645454753528945,32.91477272727273,33.07954545454545,30.27840909090909,18.613636363636367,726.5454545454545
1533297600,03-08-18 20:00,114.4,41.0,155.4,123.0,34.9,157.9,128.8,56.9,185.7,118.7,37.1,155.8,114.8,43.9,158.7,115.0,39.6,154.6,133.5,46.2,179.7,25.130000495910643,99.9000015258789,20.899999618530273,83.80000305175781,25.969999885559083,62.210000610351564,32.93125,33.1875,30.5125,18.790000000000003,688.563
