unixtime,time,ppfdred1_3,ppfdblue1_3,ppfd1_3,ppfdred2_3,ppfdblue2_3,ppfd2_3,ppfdred3_3,ppfdblue3_3,ppfd3_3,ppfdred4_3,ppfdblue4_3,ppfd4_3,ppfdred5_3,ppfdblue5_3,ppfd5_3,ppfdred6_3,ppfdblue6_3,ppfd6_3,ppfdred7_3,ppfdblue7_3,ppfd7_3,temp_1_3,humd_1_3,temp_2_3,humd_2_3,temp_3_3,humd_3_3,tmp1_3,tmp2_3,tmp3_3,ec_3,ph_3,watertemp_3,waterlevel_3
1533139200,02-08-18 00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1533142800,02-08-18 01:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1533146400,02-08-18 02:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1533150000,02-08-18 03:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1533153600,02-08-18 04:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1533157200,02-08-18 05:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1533160800,02-08-18 06:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1533164400,02-08-18 07:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1533168000,02-08-18 08:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1533171600,02-08-18 09:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1533175200,02-08-18 10:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1533178800,02-08-18 11:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1533182400,02-08-18 12:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1533186000,02-08-18 13:00,2.0,2.0,4.0,1.0,2.0,3.0,1.0,2.0,3.0,2.0,2.0,4.0,2.0,3.0,5.0,1.0,4.0,5.0,2.0,1.0,3.0,24.0,99.9000015258789,24.60000038146973,76.9000015258789,24.29999923706055,83.19999694824219,,33.0625,32.5,6.691218885892465,1747.1867729493442,23.5,1.0
1533189600,02-08-18 14:00,103.0909090909091,28.454545454545453,131.54545454545453,126.0909090909091,47.90909090909091,174.0,127.45454545454545,53.81818181818182,181.27272727272728,124.27272727272727,49.72727272727273,174.0,113.45454545454545,41.18181818181818,154.63636363636363,103.27272727272727,48.36363636363637,151.63636363636363,125.54545454545455,46.18181818181818,171.72727272727272,24.136363809758965,95.69999972256747,24.618181922219016,75.76363650235263,24.290908986871894,76.69999972256747,,33.71022727272727,32.88636363636363,6.703777660956273,1714.1743207946477,23.56781818181818,1.0
1533193200,02-08-18 15:00,103.0,28.5,131.5,126.08333333333333,48.0,174.08333333333334,128.0,53.166666666666664,181.16666666666666,124.66666666666667,49.083333333333336,173.75,113.75,40.916666666666664,154.66666666666666,103.41666666666667,48.333333333333336,151.75,125.33333333333333,46.166666666666664,171.5,24.44166644414266,94.40833346048991,24.949999809265137,73.89166641235352,24.46666653951009,75.25833320617676,,34.0625,32.880208333333336,6.720613036739793,1741.3200501913898,23.895666666666667,1.0
1533196800,02-08-18 16:00,101.9090909090909,28.727272727272727,130.63636363636363,125.36363636363636,47.81818181818182,173.1818181818182,127.63636363636364,53.0,180.63636363636363,125.45454545454545,49.45454545454545,174.9090909090909,113.27272727272727,41.0,154.27272727272728,103.36363636363636,47.90909090909091,151.27272727272728,125.27272727272727,46.0,171.27272727272728,24.609091325239703,93.25454503839666,25.209090839732777,72.0909090909091,24.66363698785955,74.04545454545455,,34.53977272727273,33.23863636363637,6.733128980528332,1755.5238123046888,24.192909090909094,1.0
1533200400,02-08-18 17:00,101.91666666666667,29.0,130.91666666666666,124.5,48.333333333333336,172.83333333333334,127.16666666666667,53.5,180.66666666666666,124.83333333333333,49.583333333333336,174.41666666666666,112.5,41.5,154.0,102.91666666666667,47.916666666666664,150.83333333333334,124.91666666666667,46.416666666666664,171.33333333333334,24.625000317891438,93.06666628519694,25.3166659673055,71.78333346048991,24.675000349680584,73.39166831970215,,34.380208333333336,33.1875,6.700604872351888,1936.9906589491277,24.427000000000003,1.0
1533204000,02-08-18 18:00,102.0909090909091,28.363636363636363,130.45454545454547,125.0,47.90909090909091,172.9090909090909,128.0,53.27272727272727,181.27272727272728,125.0909090909091,49.18181818181818,174.27272727272728,113.18181818181819,40.81818181818182,154.0,103.0,47.18181818181818,150.1818181818182,125.45454545454545,46.18181818181818,171.63636363636363,24.60000038146973,92.57272685657848,25.23636384443803,71.24545426802202,24.581818493929777,72.94545468417081,,34.22727272727273,33.0625,6.702615551133811,1927.4175930296262,24.562181818181816,1.0
